,id,sex,age,education,game_won,time_to_2,time_to_7,time_to_end,time_total
150,172,m,,,,0 days 00:00:34.542175,,,
153,175,m,1.0,1.0,1.0,0 days 00:01:19.939275,0 days 00:02:22.924475,0 days 00:03:38.241720,0 days 00:03:38.241720
154,176,f,0.0,1.0,,0 days 00:11:39.224630,0 days 00:14:34.956787,,
155,177,m,2.0,3.0,,,,,
156,178,m,1.0,3.0,,,,,
157,179,f,0.0,0.0,,0 days 00:00:43.294789,0 days 00:02:59.117038,,
158,180,f,1.0,1.0,1.0,0 days 00:04:32.576038,0 days 00:12:36.164941,0 days 00:19:43.728501,0 days 00:19:43.728501
159,181,f,1.0,2.0,,0 days 00:03:28.741514,0 days 00:23:15.412962,,
160,182,f,1.0,1.0,0.0,0 days 00:01:40.143196,,,0 days 00:02:36.450358
161,183,f,2.0,3.0,,0 days 00:03:11.407631,,,
162,184,m,2.0,3.0,1.0,0 days 00:00:48.094233,0 days 00:02:23.858255,0 days 00:05:13.362291,0 days 00:05:13.362291
163,185,m,3.0,4.0,,0 days 00:00:19.408055,,,
165,187,m,1.0,1.0,,,,,
166,188,m,0.0,1.0,,,,,
167,189,m,1.0,2.0,,,,,
168,190,f,0.0,0.0,,0 days 00:00:44.131575,,,
169,191,m,1.0,1.0,,0 days 00:06:16.473870,,,
170,192,m,1.0,1.0,,0 days 00:02:08.714544,,,
171,193,m,1.0,2.0,0.0,,,,0 days 00:01:08.509371
173,195,m,0.0,0.0,,0 days 00:01:23.192775,,,
174,196,f,1.0,1.0,,,,,
177,199,f,1.0,1.0,,,,,
178,200,f,1.0,2.0,,0 days 00:00:55.722320,0 days 00:02:01.762549,,
179,201,m,1.0,2.0,,,,,
180,202,f,1.0,2.0,,,,,
181,203,m,1.0,2.0,1.0,0 days 00:00:56.466053,0 days 00:04:41.444944,0 days 00:07:14.364640,0 days 00:07:14.364640
182,204,m,1.0,1.0,,0 days 00:01:34.382239,0 days 00:05:03.292835,,
184,206,,3.0,4.0,,,,,
185,207,f,0.0,0.0,0.0,0 days 00:00:56.904935,,,0 days 00:01:54.346643
186,208,m,1.0,1.0,,0 days 00:00:45.756851,,,
187,209,m,1.0,1.0,1.0,0 days 00:02:18.430948,0 days 00:06:31.521105,0 days 00:09:50.482073,0 days 00:09:50.482073
189,211,f,1.0,1.0,1.0,0 days 00:01:03.039452,0 days 00:02:24.275014,0 days 00:06:52.213986,0 days 00:06:52.213986
190,212,m,1.0,1.0,0.0,,,,0 days 00:00:17.820501
191,213,,4.0,3.0,,,,,
192,214,m,1.0,1.0,1.0,0 days 00:03:01.765650,0 days 00:08:37.979987,0 days 00:11:18.591276,0 days 00:11:18.591276
193,215,,1.0,1.0,,0 days 00:00:41.411590,,,
194,216,m,3.0,3.0,1.0,0 days 00:01:27.020009,0 days 00:06:11.635499,0 days 00:15:21.510735,0 days 00:15:21.510735
195,217,f,0.0,0.0,,,,,
197,219,m,2.0,2.0,0.0,0 days 00:01:06.621554,0 days 00:04:10.822009,,0 days 00:14:01.186158
198,220,f,1.0,3.0,,,,,
200,222,f,1.0,2.0,0.0,,,,0 days 00:02:21.719584
201,223,f,1.0,1.0,,0 days 00:00:44.943591,,,
202,224,m,1.0,1.0,,0 days 00:01:15.259045,0 days 00:03:59.113920,,
203,225,m,1.0,2.0,,0 days 00:03:25.362454,,,
205,227,f,1.0,3.0,,0 days 00:02:15.540740,0 days 00:12:58.498471,,
206,228,f,1.0,2.0,,,,,
207,229,f,1.0,2.0,,,,,
209,231,f,1.0,3.0,,0 days 00:03:32.293886,0 days 00:12:09.168889,,
210,232,m,1.0,1.0,,0 days 00:06:34.264821,0 days 00:07:33.146041,,
213,235,m,1.0,1.0,,,,,
214,236,m,3.0,3.0,,0 days 00:03:10.501710,,,
215,237,m,1.0,2.0,,0 days 00:01:10.614829,,,
216,238,m,1.0,1.0,,0 days 00:00:44.462125,,,
217,239,m,0.0,0.0,,0 days 00:01:16.523070,0 days 00:10:49.248084,,
218,240,f,1.0,2.0,0.0,0 days 00:00:53.836114,,,0 days 00:01:52.131563
219,241,f,1.0,1.0,1.0,0 days 00:01:04.736541,0 days 00:04:44.669006,0 days 00:11:15.307362,0 days 00:11:15.307362
221,243,m,1.0,2.0,,0 days 00:02:16.888204,,,
222,244,,1.0,1.0,,0 days 00:01:57.879210,,,
223,245,,,,0.0,,,,0 days 00:00:31.399423
225,247,,1.0,,,0 days 00:02:01.370501,,,
226,248,f,1.0,2.0,,0 days 00:01:31.783854,,,
228,250,f,1.0,1.0,1.0,0 days 00:01:35.317224,0 days 00:07:30.666610,0 days 00:11:15.092944,0 days 00:11:15.092944
230,252,m,2.0,3.0,,0 days 00:01:12.592304,,,
232,254,m,1.0,2.0,,0 days 00:00:43.750950,0 days 00:07:11.684731,,
234,256,f,1.0,1.0,,,,,
235,257,m,2.0,3.0,1.0,0 days 00:03:48.234497,0 days 00:16:39.265043,0 days 00:39:18.348021,0 days 00:39:18.348021
236,258,,2.0,3.0,,,,,
237,259,m,1.0,2.0,,0 days 00:02:08.519387,,,
238,260,,1.0,1.0,,,,,
239,261,f,1.0,2.0,,0 days 00:00:52.093510,,,
240,262,f,1.0,2.0,,0 days 00:00:47.388753,,,
241,263,m,2.0,3.0,,0 days 00:01:59.486468,,,
243,265,m,1.0,1.0,,,,,
244,266,f,1.0,1.0,,0 days 00:01:54.733379,,,
245,267,f,1.0,1.0,1.0,0 days 00:02:02.713571,0 days 00:05:54.203667,0 days 00:08:58.413271,0 days 00:08:58.413271
246,268,f,1.0,2.0,,0 days 00:00:32.627842,,,
248,270,,,,,,,,
249,271,m,1.0,0.0,1.0,0 days 00:02:21.152751,0 days 00:07:13.995860,0 days 00:09:23.767142,0 days 00:09:23.767142
251,273,f,1.0,1.0,,,,,
252,274,f,1.0,1.0,,0 days 00:00:31.374420,,,
253,275,f,1.0,2.0,1.0,0 days 00:02:46.530074,0 days 00:08:16.465647,0 days 00:18:12.572676,0 days 00:18:12.572676
254,276,,1.0,1.0,0.0,,,,0 days 00:00:39.290452
255,277,m,2.0,3.0,,0 days 00:00:41.217724,,,
257,279,f,1.0,2.0,,0 days 00:02:14.061944,,,
258,280,m,1.0,1.0,,0 days 00:02:32.114878,0 days 00:04:20.156605,,
259,281,m,2.0,3.0,,,,,
261,283,m,1.0,1.0,,0 days 00:00:37.789710,0 days 00:04:33.065876,,
264,286,f,1.0,2.0,1.0,0 days 00:02:12.883798,0 days 00:08:48.297128,0 days 00:11:53.583809,0 days 00:11:53.583809
265,287,m,1.0,2.0,,,,,
266,288,m,2.0,3.0,,0 days 00:01:03.898395,,,
267,289,m,2.0,3.0,,,,,
268,290,m,1.0,1.0,0.0,,,,0 days 00:02:35.221741
269,291,f,0.0,4.0,,0 days 00:00:30.059859,0 days 00:04:33.401141,,
271,293,m,1.0,1.0,,,,,
272,294,f,1.0,1.0,,,,,
273,295,f,1.0,1.0,,0 days 00:01:38.572015,,,
275,297,f,0.0,1.0,,0 days 00:00:57.924811,,,
276,298,f,1.0,3.0,0.0,0 days 00:01:44.153551,,,0 days 00:03:37.799100
278,300,f,2.0,3.0,,0 days 00:01:50.790527,,,
280,302,f,2.0,3.0,,,,,
281,303,m,1.0,1.0,,0 days 00:00:55.143689,,,
282,304,f,2.0,3.0,,0 days 00:02:21.654798,,,
283,305,f,2.0,3.0,,,,,
284,306,m,2.0,3.0,1.0,0 days 00:02:29.343196,0 days 00:04:04.186488,0 days 00:07:06.341644,0 days 00:07:06.341644
285,307,m,1.0,2.0,1.0,0 days 00:01:57.126052,0 days 00:04:51.667422,0 days 00:15:59.950146,0 days 00:15:59.950146
287,309,f,0.0,1.0,0.0,0 days 00:01:00.696421,,,0 days 00:02:09.262720
288,310,f,1.0,1.0,,,,,
289,311,m,1.0,2.0,,0 days 00:01:19.979099,,,
290,312,m,0.0,2.0,,,,,
292,314,f,2.0,4.0,1.0,0 days 00:00:49.837489,0 days 00:10:32.228077,0 days 00:13:32.858670,0 days 00:13:32.858670
295,317,m,1.0,2.0,,,,,
296,318,m,1.0,2.0,,0 days 00:03:01.065016,,,
297,319,m,1.0,1.0,,,,,
298,320,m,1.0,1.0,,0 days 00:01:51.947695,,,
299,321,f,1.0,1.0,1.0,0 days 00:02:54.532355,0 days 00:06:40.172996,0 days 00:18:44.481640,0 days 00:18:44.481640
300,322,f,1.0,2.0,,,,,
302,324,f,1.0,1.0,1.0,0 days 00:00:59.966948,0 days 00:05:52.000123,0 days 00:21:51.165285,0 days 00:21:51.165285
304,326,f,2.0,3.0,0.0,,,,0 days 00:01:10.877879
306,328,f,3.0,3.0,,0 days 00:04:13.469221,,,
307,329,,,,,0 days 00:01:01.254305,,,
308,330,f,3.0,3.0,,,,,
309,331,m,1.0,2.0,,,,,
310,332,m,,,,0 days 00:00:24.666273,,,
