last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.8697651518702314,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.578284749020715,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.351577769026647,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.17021218503139246,1
0.0,-1.5616101340253947,dpm,m,1.0,1.0,-0.02182216176254748,1
1.0,2.17348331417232,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,1.0,1.0,0.1018361909614896,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,-0.9561297156774952,1
0.0,-0.8145914443858517,dpm,m,1.0,1.0,-0.714308937017156,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.1018361909614896,1
1.0,0.6794459348932341,dpm,m,0.0,1.0,0.6847969966605219,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.7819571309436942,1
0.0,0.03914420091648298,dpm,m,0.0,1.0,0.85752612427505,0
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.6250061447939547,0
0.0,0.1361596151553847,dpm,m,0.0,1.0,0.6847969966605219,0
0.0,-0.005321197276346802,dpm,m,0.0,1.0,0.7366157349448808,1
1.0,0.3059365900734627,dpm,m,0.0,1.0,0.8893446477829897,1
1.0,0.3059365900734627,dpm,f,3.0,3.0,-1.2584056890029196,1
0.0,-0.3165789846261565,dpm,f,3.0,3.0,-1.560681662328344,1
0.0,-0.627836771975966,dpm,f,3.0,3.0,-1.8862096336018777,1
0.0,-0.8145914443858517,dpm,f,3.0,3.0,-2.260689179503011,1
0.0,-0.9390945593257757,dpm,f,3.0,3.0,-2.0745508169815654,0
1.0,-0.0675727547463087,dpm,f,3.0,3.0,-1.5848637401943777,1
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.424327300400985,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.346599192974447,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-2.0003558053471426,0
0.0,-1.5616101340253947,dpm,m,2.0,1.0,-1.8862096336018777,1
1.0,-0.9390945593257757,dpm,m,2.0,1.0,-1.598466158994022,1
0.0,-1.0280253557114354,dpm,m,2.0,1.0,-1.9061399175574003,1
0.0,-1.0947234530006804,dpm,m,2.0,1.0,-1.8498152020309235,1
1.0,0.3059365900734627,dpm,m,1.0,1.0,-1.647046226135608,1
0.0,-0.3165789846261565,dpm,m,1.0,1.0,-1.2584056890029196,1
0.0,-0.627836771975966,dpm,m,1.0,1.0,-0.9561297156774952,1
