,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
91,113,m,1.0,1.0,2023-09-14 11:44:44.003106,2023-09-14 11:49:37.552466,2023-09-14 11:53:30.834196,2023-09-14 11:38:44.370696,1.0,0 days 00:05:59.632410,0 days 00:10:53.181770,0 days 00:14:46.463500,0 days 00:14:46.463500
92,114,m,2.0,3.0,,,,2023-09-14 11:39:11.875740,,,,,
93,115,m,1.0,1.0,2023-09-14 11:44:46.919492,2023-09-14 11:48:12.399990,2023-09-14 12:08:42.436374,2023-09-14 11:39:13.774386,1.0,0 days 00:05:33.145106,0 days 00:08:58.625604,0 days 00:29:28.661988,0 days 00:29:28.661988
94,116,f,1.0,1.0,2023-09-14 11:41:19.497456,2023-09-14 11:43:16.291276,2023-09-14 11:47:01.689469,2023-09-14 11:39:31.439114,1.0,0 days 00:01:48.058342,0 days 00:03:44.852162,0 days 00:07:30.250355,0 days 00:07:30.250355
95,117,m,2.0,3.0,2023-09-14 11:40:37.114560,2023-09-14 11:42:58.506519,,2023-09-14 11:39:37.918646,,0 days 00:00:59.195914,0 days 00:03:20.587873,,
96,118,m,0.0,1.0,,,,2023-09-14 11:39:49.835823,,,,,
98,120,f,0.0,1.0,2023-09-14 12:00:15.726044,,,2023-09-14 11:54:09.280957,,0 days 00:06:06.445087,,,
101,123,m,,1.0,2023-09-14 11:59:53.611178,,,2023-09-14 11:57:36.573788,,0 days 00:02:17.037390,,,
102,124,m,2.0,3.0,2023-09-14 11:59:06.026860,,2023-09-14 12:00:48.303262,2023-09-14 11:58:25.825652,0.0,0 days 00:00:40.201208,,,0 days 00:02:22.477610
104,126,,,,2023-09-14 12:01:33.177457,,,2023-09-14 12:00:10.997125,,0 days 00:01:22.180332,,,
105,127,m,1.0,,,,,2023-09-14 11:59:54.068216,,,,,
106,128,m,1.0,2.0,2023-09-14 12:03:23.328620,,,2023-09-14 12:01:40.878368,,0 days 00:01:42.450252,,,
107,129,m,0.0,1.0,,,,2023-09-14 12:00:47.341989,,,,,
108,130,m,1.0,1.0,2023-09-14 12:03:19.893523,,,2023-09-14 12:02:10.036688,,0 days 00:01:09.856835,,,
